Technology,Phase,Functional Unit,Ecoinvent Database Type,Method Family,Impact Category,Score,Impact Unit
Fuel_MeOH,Infra,kg/hr,ecoinvent-consequential-3.11,EF v3.1,eutrophication: marine,0.6878352239918248,kg N-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-consequential-3.11,EF v3.1,eutrophication: terrestrial,7.949237450184935,mol N-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-consequential-3.11,EF v3.1,human toxicity: carcinogenic,8.593407280664097e-07,CTUh
Fuel_MeOH,Infra,kg/hr,ecoinvent-consequential-3.11,EF v3.1,"human toxicity: carcinogenic, inorganics",6.119140155831182e-07,CTUh
Fuel_MeOH,Infra,kg/hr,ecoinvent-consequential-3.11,EF v3.1,"human toxicity: carcinogenic, organics",2.4742671248329156e-07,CTUh
Fuel_MeOH,Infra,kg/hr,ecoinvent-consequential-3.11,EF v3.1,human toxicity: non-carcinogenic,3.763335675843756e-05,CTUh
Fuel_MeOH,Infra,kg/hr,ecoinvent-consequential-3.11,EF v3.1,"human toxicity: non-carcinogenic, inorganics",3.494937738183984e-05,CTUh
Fuel_MeOH,Infra,kg/hr,ecoinvent-consequential-3.11,EF v3.1,"human toxicity: non-carcinogenic, organics",2.683979376597718e-06,CTUh
Fuel_MeOH,Infra,kg/hr,ecoinvent-consequential-3.11,EF v3.1,ionising radiation: human health,-2.5271192935682496,kBq U235-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-consequential-3.11,EF v3.1,land use,35556.3236797503,dimensionless
Fuel_MeOH,Infra,kg/hr,ecoinvent-consequential-3.11,EF v3.1,material resources: metals/minerals,0.08825997378588801,kg Sb-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-consequential-3.11,EF v3.1,ozone depletion,3.7553165960879897e-06,kg CFC-11-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-consequential-3.11,EF v3.1,particulate matter formation,3.721015622967009e-05,disease incidence
Fuel_MeOH,Infra,kg/hr,ecoinvent-consequential-3.11,EF v3.1,photochemical oxidant formation: human health,2.4178997579439727,kg NMVOC-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-consequential-3.11,EF v3.1,water use,76.78930490312172,m3 world Eq deprived
Fuel_MeOH,Infra,kg/hr,ecoinvent-apos-3.11,EF v3.1,acidification,4.500101804612152,mol H+-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-apos-3.11,EF v3.1,climate change,371.1536192257248,kg CO2-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-apos-3.11,EF v3.1,climate change: biogenic,0.8916508918148773,kg CO2-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-apos-3.11,EF v3.1,climate change: fossil,369.8050754012939,kg CO2-Eq
Fuel_MeOH,Infra,kg/hr,ecoinvent-apos-3.11,EF v3.1,climate change: land use and land use change,0.4568929326159809,kg CO2-Eq
